id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
949	"vanderlinden, j."	-0.2324	0.0575	6	10	11	2
953	"vautard, r."	-0.2054	0.239	6	45	77	9
958	"vidale, p. l."	-0.8437	-0.041	2	13	18	3
961	"vitart, f."	0.7807	0.949	9	3	5	4
962	"vogel, m. m."	-0.4164	0.0942	6	10	11	2
966	"vose, r. s."	-0.4288	1.0797	7	8	13	5
970	"vrac, m."	-0.2504	0.1336	6	5	5	2
975	"wallom, d. c. h."	0.2774	0.2114	5	32	50	9
976	"walton, p."	-0.228	-0.0116	6	10	11	2
981	"wang, g."	-1.3057	0.457	10	6	16	4
988	"watanabe, m."	-0.2804	-0.5884	8	8	8	3
991	"watson, p. a. g."	0.4885	0.0341	5	12	20	4
994	"webb, m. j."	-0.6186	-0.5376	8	5	5	2
997	"wehner, m. f."	-0.4617	-0.3154	1	44	61	16
1000	"weisheimer, a."	0.2908	0.4669	5	32	42	9
1008	"wilby, r. l."	0.8046	0.1045	4	29	33	4
1011	"willett, k. m."	-0.4453	0.9503	7	6	10	3
1012	"williams, a. p."	0.0714	-0.803	1	8	8	2
1013	"williams, k. d."	0.8555	-0.0038	3	5	6	3
1016	"wilson, s."	0.2697	-0.0882	5	23	31	3
1017	"winn, j. p."	-0.5668	0.6901	7	8	13	2
1025	"woollings, t."	0.1184	-0.0971	5	20	24	5
1033	"yamazaki, k."	0.8333	-0.6055	3	23	35	5
1034	"yamazaki, y. h."	0.4458	-0.3483	3	14	16	2
1039	"yiou, p."	-0.1281	0.0193	6	27	42	8
1040	"yoon, j."	-0.6063	0.3681	2	10	10	2
1043	"yukimoto, s."	-0.2031	-0.3979	1	12	12	2
1044	"zappa, g."	0.4849	-0.0646	5	9	9	2
1045	"zarzycki, c. m."	-0.5143	-0.4448	1	3	6	3
1046	"zelinka, m. d."	-0.5161	-0.8246	1	3	3	2
1051	"zhang, t."	-0.3111	-0.885	1	7	13	2
1052	"zhang, x."	-0.5263	0.0886	2	24	27	5
1062	"zuo, h."	0.4395	0.8711	9	9	12	2
1065	"zwiers, f. w."	-0.32	0.0702	6	16	17	2
